Identifier,StructureData,Polymer EntityData,
Entity ID,PDB ID,Entity ID,
"6GY5_1","6GY5","1"
"6H26_1","6H26","1"
"6HGM_1","6HGM","1"
"6HGM_2","6HGM","2"
"6HMQ_1","6HMQ","1"
"6I4D_2","6I4D","2"
"6JGH_1","6JGH","1"
"6N3D_1","6N3D","1"
"6NSV_1","6NSV","1"
"6NYT_1","6NYT","1"
"6OD3_1","6OD3","1"
"6PCK_1","6PCK","1"
"6PHI_1","6PHI","1"
"6PSA_2","6PSA","2"
"6Q2P_1","6Q2P","1"
"6Q9L_1","6Q9L","1"
"6RRV_1","6RRV","1"
"6RZH_1","6RZH","1"
"6SPT_1","6SPT","1"
"6TN5_1","6TN5","1"
"6TX6_1","6TX6","1"
"6UB6_1","6UB6","1"
"6UMU_1","6UMU","1"
"6VJJ_2","6VJJ","2"
"6X42_1","6X42","1"
"6XRK_1","6XRK","1"
"6XYB_1","6XYB","1"
"6YTU_1","6YTU","1"
"6ZPP_1","6ZPP","1"
"6ZVO_1","6ZVO","1"
"7A1R_1","7A1R","1"
"7AEW_2","7AEW","2"
"7B2T_2","7B2T","2"
"7JR8_1","7JR8","1"
"7KTN_1","7KTN","1"
"7LD9_1","7LD9","1"
"7LD9_2","7LD9","2"
"7LWE_1","7LWE","1"
"7MN9_1","7MN9","1"
"7NFB_1","7NFB","1"
"7O4P_1","7O4P","1"
"7OLT_1","7OLT","1"
"7OMO_1","7OMO","1"
"7PH0_1","7PH0","1"
"7PXY_1","7PXY","1"
"7Q5V_1","7Q5V","1"
"7QQY_1","7QQY","1"
"7QY1_1","7QY1","1"
"7RJP_1","7RJP","1"
"7RWG_1","7RWG","1"
"7S7J_1","7S7J","1"
"7S7J_2","7S7J","2"
"7SOR_1","7SOR","1"
"7SSF_1","7SSF","1"
"7WF8_1","7WF8","1"
"7YUG_1","7YUG","1"
"7ZTF_1","7ZTF","1"
"7ZUG_1","7ZUG","1"
"8AXR_1","8AXR","1"
"8BBW_1","8BBW","1"
"8CM8_1","8CM8","1"
"8GQZ_1","8GQZ","1"
"8IXT_1","8IXT","1"
"8OMW_1","8OMW","1"
"8P0D_2","8P0D","2"
"8PB5_1","8PB5","1"
"8PD6_1","8PD6","1"
"8Q79_1","8Q79","1"
"8RT2_1","8RT2","1"
"8S8A_1","8S8A","1"
"8UCY_1","8UCY","1"
"8USS_1","8USS","1"
"1BX7_1","1BX7","1"
"1D5T_1","1D5T","1"
"1DCI_1","1DCI","1"
"1EAJ_1","1EAJ","1"
"1FX2_1","1FX2","1"
"1G2B_1","1G2B","1"
"1G33_1","1G33","1"
"1G66_1","1G66","1"
"1G6X_1","1G6X","1"
"1GK7_1","1GK7","1"
"1GP0_1","1GP0","1"
"1GV9_1","1GV9","1"
"1GVD_1","1GVD","1"
"1H97_1","1H97","1"
"1I24_1","1I24","1"
"1I88_1","1I88","1"
"1JI7_1","1JI7","1"
"1K2A_1","1K2A","1"
"1K4I_1","1K4I","1"
"1K7C_1","1K7C","1"
"1KMV_1","1KMV","1"
"1KQ6_1","1KQ6","1"
"1L9L_1","1L9L","1"
"1LR7_1","1LR7","1"
"1M7G_1","1M7G","1"
"1MJ4_1","1MJ4","1"
"1N3L_1","1N3L","1"
"1N45_1","1N45","1"
"1NKG_1","1NKG","1"
"1O81_1","1O81","1"
"1OAA_1","1OAA","1"
"1ODM_1","1ODM","1"
"1OEW_1","1OEW","1"
"1P4C_1","1P4C","1"
"1PA7_1","1PA7","1"
"1PIN_1","1PIN","1"
"1PWA_1","1PWA","1"
"1QNR_1","1QNR","1"
"1R6X_1","1R6X","1"
"1R8S_2","1R8S","2"
"1RWY_1","1RWY","1"
"1S2P_1","1S2P","1"
"1UAS_1","1UAS","1"
"1UNR_1","1UNR","1"
"1UWC_1","1UWC","1"
"1V5I_2","1V5I","2"
"1W1H_1","1W1H","1"
"1WBI_1","1WBI","1"
"1WDP_1","1WDP","1"
"1WMA_1","1WMA","1"
"1X99_1","1X99","1"
